"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Fluxo de compra com multiplos usu치rios",": Efetuar compra com multiplos usuarios com fluxo nao impeditivo e validar valor total","0","0","6","0","0"
"","Fluxo de compra com multiplos usu치rios","Fluxo de compra com usuario com erro","0","0","2","0","0"
"","Carrinho de compras","Validar valores de multiplos itens no carrinho","0","0","2","0","0"
"","Carrinho de compras",": Validar nome e valor do item adicionado ao carrinho","0","0","2","0","0"
"","Fluxo de compra com multiplos usu치rios","Fluxo de compra com usuario com problema","0","0","2","0","0"
"","Carrinho de compras","Validar remocao de itens no carrinho pelo icone","0","0","2","0","0"
"","Carrinho de compras","Validar contagem de itens no carrinho pelo icone","0","0","2","0","0"
"","Efetuar compra",": Efetuar compra e validar valor total","0","0","3","0","0"
"","Fluxo de compra com multiplos usu치rios","Efetuar login com usuario locked-out-user","0","0","1","0","0"
